                                                                                                    26 Apr 2019 09:08:15
FOR UNFUNDED EDUCATIONAL USE ONLY
Sensor-Sensor1


       Time (UTCG)          Percent Obscured    Percent Unobscured    Relative Obscured Area    Relative Unobscured Area
27 Apr 2019 16:00:00.000            1.703117             98.296883               1623.955850                93728.037551
27 Apr 2019 16:05:00.000            1.576135             98.423865               1502.876546                93849.116855
27 Apr 2019 16:10:00.000            2.586523             97.413477               2466.300852                92885.692549
27 Apr 2019 16:15:00.000            3.421888             96.578112               3262.838346                92089.155055
27 Apr 2019 16:20:00.000            4.046569             95.953431               3858.484584                91493.508817
27 Apr 2019 16:25:00.000            4.166682             95.833318               3973.013980                91378.979421
27 Apr 2019 16:30:00.000            4.168929             95.831071               3975.156760                91376.836641
27 Apr 2019 16:35:00.000            3.803688             96.196312               3626.891990                91725.101411
27 Apr 2019 16:40:00.000            3.066842             96.933158               2924.294943                92427.698458
27 Apr 2019 16:45:00.000            2.210763             97.789237               2108.006613                93243.986788
27 Apr 2019 16:50:00.000            1.215487             98.784513               1158.990907                94193.002494
27 Apr 2019 16:55:00.000            2.082926             97.917074               1986.111009                93365.882392
27 Apr 2019 17:00:00.000            3.053618             96.946382               2911.685641                92440.307760
27 Apr 2019 17:05:00.000            3.794345             96.205655               3617.983292                91734.010109
27 Apr 2019 17:10:00.000            4.165441             95.834559               3971.831405                91380.161996
27 Apr 2019 17:15:00.000            4.159118             95.840882               3965.801476                91386.191926
27 Apr 2019 17:20:00.000            4.041336             95.958664               3853.494866                91498.498535
27 Apr 2019 17:25:00.000            3.549009             96.450991               3384.050433                91967.942968
27 Apr 2019 17:30:00.000            2.575143             97.424857               2455.450244                92896.543158
27 Apr 2019 17:35:00.000            1.688878             98.311122               1610.378372                93741.615029
27 Apr 2019 17:40:00.000            1.704424             98.295576               1625.201987                93726.791414
27 Apr 2019 17:45:00.000            2.696954             97.303046               2571.599130                92780.394271
27 Apr 2019 17:50:00.000            3.433998             96.566002               3274.385476                92077.607925
27 Apr 2019 17:55:00.000            4.052498             95.947502               3864.137299                91487.856102
27 Apr 2019 18:00:00.000            4.164619             95.835381               3971.047555                91380.945846
27 Apr 2019 18:05:00.000            4.176904             95.823096               3982.761645                91369.231757
27 Apr 2019 18:10:00.000            3.803826             96.196174               3627.024366                91724.969035
27 Apr 2019 18:15:00.000            3.072500             96.927500               2929.689864                92422.303537
27 Apr 2019 18:20:00.000            2.202858             97.797142               2100.469020                93251.524381
27 Apr 2019 18:25:00.000            1.213686             98.786314               1157.273925                94194.719476
27 Apr 2019 18:30:00.000            2.199572             97.800428               2097.336206                93254.657195
27 Apr 2019 18:35:00.000            3.059304             96.940696               2917.107630                92434.885771
27 Apr 2019 18:40:00.000            3.794624             96.205376               3618.249435                91733.743966
27 Apr 2019 18:45:00.000            4.165406             95.834594               3971.797493                91380.195908
27 Apr 2019 18:50:00.000            4.159223             95.840777               3965.902427                91386.090974
27 Apr 2019 18:55:00.000            4.047012             95.952988               3858.906775                91493.086626
27 Apr 2019 19:00:00.000            3.298281             96.701719               3144.976575                92207.016826
