"Time (UTCG)","Area (m^2)"
27 Apr 2019 16:45:00.000,25.952946
27 Apr 2019 16:50:00.000,26.025964
27 Apr 2019 16:55:00.000,25.892922
27 Apr 2019 17:00:00.000,25.441201
27 Apr 2019 17:05:00.000,24.852107
27 Apr 2019 17:10:00.000,25.598375
27 Apr 2019 17:15:00.000,26.284621
27 Apr 2019 17:20:00.000,26.267294
27 Apr 2019 17:25:00.000,25.960990
27 Apr 2019 17:30:00.000,25.757406
27 Apr 2019 17:35:00.000,26.010494
27 Apr 2019 17:40:00.000,25.986979
27 Apr 2019 17:45:00.000,25.678200
27 Apr 2019 17:50:00.000,25.067448
27 Apr 2019 17:55:00.000,25.169549
27 Apr 2019 18:00:00.000,25.965322
27 Apr 2019 18:05:00.000,26.306897
27 Apr 2019 18:10:00.000,26.159624
27 Apr 2019 18:15:00.000,25.758644
27 Apr 2019 18:20:00.000,25.997499
27 Apr 2019 18:25:00.000,26.066804
27 Apr 2019 18:30:00.000,25.881165
27 Apr 2019 18:35:00.000,25.405930
27 Apr 2019 18:40:00.000,24.918318
27 Apr 2019 18:45:00.000,25.681294
27 Apr 2019 18:50:00.000,26.311848
27 Apr 2019 18:55:00.000,26.240067
27 Apr 2019 19:00:00.000,25.945520

